village,wealth_reported,education_years
6,3.0655,8.4437
6,-0.8967,5.4827
6,-0.8398,4.2776
6,0.5932,4.5775
7,1.8216,5.8711
7,-2.0848,4.4817
7,-0.4431,4.6763
7,1.7759,4.6341
7,0.2251,6.4005
7,-3.2359,1.1862
7,0.4112,4.5195
7,1.9267,5.2392
7,-1.2409,3.9213
7,1.6179,4.176
7,2.0417,7.0578
7,1.2037,5.7531
7,-0.4824,5.2046
7,-0.8397,4.397
7,1.0865,3.524
7,0.5253,5.4502
7,0.1718,3.8632
7,1.0305,4.332
8,0.4584,4.6747
8,0.713,4.5192
8,0.0801,6.8043
8,-1.4822,6.0648
8,-0.3213,8.6006
8,-0.4045,5.767
8,0.3494,8.4046
8,-0.6662,5.547
8,0.8731,5.3466
8,1.4265,8.2379
8,-1.8509,4.2287
8,0.8896,9.4341
8,-0.15,3.4966
8,-1.1539,7.697
8,-2.2657,4.3501
8,-1.1761,5.232
8,0.2661,5.9092
8,0.4957,5.0379
8,-2.1713,5.7684
9,-1.5416,4.4291
9,1.2561,7.5025
9,1.7528,6.8038
9,0.5512,7.8647
9,-1.8541,3.8092
9,3.3283,8.4192
9,0.9814,7.1487
9,-0.0293,4.973
9,-1.422,4.4911
9,0.2245,5.9599
9,1.539,5.0332
9,0.4264,4.0704
9,0.8043,8.005
9,1.4445,8.4712
9,-2.5775,4.5084
9,1.4846,8.6848
10,0.8173,8.6157
10,0.7893,8.9457
10,-1.6652,6.2369
10,1.5637,9.2015
10,0.0815,7.1201
10,-2.5352,4.9582
10,-0.6376,7.1526
10,-0.8644,9.4573
10,1.1056,9.0793
10,-1.5522,7.8787
10,1.6726,8.9814
10,0.9634,10.7716
10,2.529,9.8193
10,-1.5443,5.0634
10,-0.2294,8.1244
11,-0.6041,5.2509
11,-0.6528,4.8325
11,-1.3128,5.4184
11,-0.9184,3.2268
11,-1.0979,5.4153
11,1.6208,7.1494
11,-0.4517,4.4616
11,-1.3734,4.8679
11,0.0442,7.1868
11,-1.3019,5.3423
11,0.4519,5.011
11,-1.0482,4.8476
11,-3.2074,5.9591
11,0.8037,3.6201
11,-2.3495,4.8509
11,-1.2705,6.2874
11,-0.7602,3.605
11,-0.3942,5.6079
11,-0.4757,4.175
12,1.1649,6.913
12,-1.8088,4.4427
12,1.3063,8.7642
12,-1.0812,3.8928
12,0.6936,7.9661
12,0.1654,5.3839
12,0.3476,6.7406
12,0.3314,5.4889
12,-1.8433,2.2767
12,1.0922,8.1829
12,0.5352,4.5783
12,1.0447,5.766
12,-0.0678,4.1212
12,0.1933,3.8563
12,-0.9827,4.5073
12,-1.0001,4.1948
12,1.013,8.0171
12,-1.8786,4.829
12,-2.1391,3.0807
13,-1.3626,9.244
13,1.2174,9.3817
13,2.5605,9.1519
13,-0.5311,7.0667
13,-1.4995,7.1578
13,-0.9163,8.2349
13,-0.2763,9.9142
13,-0.2037,9.438
13,0.7089,12.1788
13,-0.0293,10.6423
13,1.4602,10.728
13,0.9603,8.8688
13,1.1102,7.2182
13,-0.2289,8.0338
14,0.6853,0.912
14,0.6476,2.7891
14,-1.5956,2.8591
14,0.0952,2.4678
14,-0.0833,1.8207
14,0.9073,6.5745
14,1.1862,4.2276
14,-0.1084,1.0327
14,-1.6862,4.2256
14,0.5105,2.8852
14,2.7828,5.8397
14,-0.7404,5.3638
14,1.7513,5.1128
14,1.5174,4.2188
14,0.458,3.5903
14,1.5209,6.0173
14,0.6021,4.3809
